description,issue_type
Where can I get more details about student outreach programs?,Other
Are there any rules about where I can sit during the exam?,Examination
Is there any mentorship program for new students?,Other
Could you authorize this document for me?,Signature
Bagaimana cara untuk memohon cuti akademik?,Other
How should I prepare for a multiple-choice exam?,Examination
Can I receive a scholarship if I’m on academic probation?,Scholarship
Bolehkah saya meminta lawatan kampus?,Other
Bagaimana saya boleh menyertai kumpulan penyelidikan pelajar?,Other
Bolehkah anda berikan saya transkrip tidak rasmi?,Transcript
Please sign my doctoral program application form.,Signature
Bolehkah saya dapatkan tandatangan borang permohonan pensijilan?,Signature
Can I sign up for a faculty-focused conference on academic integrity?,Enrollment
Bolehkah saya memohon lebih daripada satu biasiswa?,Scholarship
How do I sign up for my courses?,Enrollment
Bolehkah saya keluar lebih awal dari peperiksaan?,Examination
Can you explain the process for applying to graduate programs?,Other
How do I enroll in a faculty writing retreat?,Enrollment
Can I get a hard copy of my transcript?,Transcript
Can you sign this petition?,Signature
Bolehkah anda terangkan cara untuk menggunakan gim kampus?,Other
How can I sign up for additional faculty responsibilities?,Enrollment
How do I cancel my exam registration?,Examination
Can I leave the exam room during a break?,Examination
I need a transcript for my internship application.,Transcript
Would you kindly sign my internship participation agreement?,Signature
Can I obtain a transcript if I have an academic hold on my record?,Transcript
Can I receive a scholarship if I’m studying part-time?,Scholarship
Is it possible to request an exam to be rescheduled?,Examination
Bolehkah anda berikan saya transkrip tidak rasmi?,Transcript
Adakah terdapat biasiswa untuk pelajar yang mengejar kerjaya dalam bidang kejururawatan?,Scholarship
What is the process for enrolling in an academic leadership program?,Enrollment
Can I take my personal belongings into the exam room?,Examination
Can you email me a copy of my transcript while I wait for the official one?,Transcript
Are there scholarships available for graduate students pursuing a research degree?,Scholarship
Could you sign my health insurance enrollment form?,Signature
Can you send me a transcript to my home address?,Transcript
Bagaimana saya boleh mengakses sumber kesihatan mental?,Other
Bolehkah anda berikan saya salinan transkrip GPA saya?,Transcript
Can I use a laptop during the exam?,Examination
Biasiswa apa yang boleh saya mohon berdasarkan pencapaian akademik?,Scholarship
Bagaimana saya boleh memohon untuk jawatan pembantu siswazah?,Other
Bolehkah anda tandatangan borang permohonan pemindahan kredit saya?,Signature
Adakah terdapat biasiswa untuk pelajar dengan pencapaian akademik yang cemerlang?,Scholarship
Where can I find the exam schedule?,Examination
I have a general question about university policies.,Other
Are there any guidelines for taking an oral exam?,Examination
What is the registration process for new students?,Enrollment
Adakah terdapat peluang mentor pelajar di kampus?,Other
Where do I find the registration forms for faculty training?,Enrollment
Can you please sign my re-registration form?,Signature
How do I enroll in interdisciplinary teaching programs?,Enrollment
Bolehkah anda tandatangan surat pengesahan sijil saya?,Signature
Apa yang perlu saya lakukan jika saya merasa cemas sebelum peperiksaan?,Examination
Bolehkah saya memohon biasiswa jika saya mempunyai pekerjaan sambilan?,Scholarship
What are the criteria for enrolling in a faculty fellowship program?,Enrollment
Apakah prosedur untuk menduduki peperiksaan semula jika saya gagal?,Examination
How can I get a copy of the exam paper after the exam?,Examination
How do I handle a situation where I feel unprepared for the exam?,Examination
Can I meet with a professor to discuss my academic interests?,Other
